#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1G|CONZ|-77.5329|167.0823|3446.0|CONZ|2024-12-22T00:00:00.0000|2028-12-30T23:59:00.0000
1G|ELHT|-77.51057|167.145923|3359.0|ELHT|2024-11-26T00:00:00.0000|2028-12-30T23:59:00.0000
1G|HOO|-77.5316|166.9326|2058.0|HOO|2025-01-16T20:51:00.0000|2028-12-30T23:59:00.0000
1G|MACZ|-77.53253|167.2466|3297.0|MACZ|2024-12-25T00:00:00.0000|2028-12-30T23:59:00.0000
1G|NAUS|-77.5218|167.1504|3505.0|NAUS|2024-12-14T00:00:00.0000|2028-12-30T23:59:00.0000
2K|LOY01|56.147148|-116.72966|695.1|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad 3-34-82-18W5 LOY01|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
2K|LOY02|56.128571|-116.499634|720.8|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad 13-19-82-16W5 LOY02|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
2K|LOY03|56.130844|-116.661552|720.0|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad Office 13-19-82-17W5 LOY03|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
2K|LOY04|56.102379|-116.772408|683.0|Obsidian Inj 14-18-82-17W5 HarmonV Tolko Industry Land LOY04|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
2K|LOY05|56.076492|-116.764931|700.0|Obsidian Inj 14-18-82-17W5 HarmonV Private Land WB LOY05|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
2O|BLT09|-16.25895|134.86316|178.0|Tanumbirini, NT|2021-08-28T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL01|-15.19414|132.54079|179.0|Nenen Station, NT|2021-09-13T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL02|-16.09792|132.82894|241.0|Avago Station, NT|2021-08-26T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL03|-16.86486|133.09611|234.0|Buchannan Downs, NT|2021-09-10T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL04|-15.84238|133.93432|313.0|Nutwood Downs, NT|2021-08-27T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL05|-16.4788|133.88445|285.0|Amungee Mungee, NT|2021-08-25T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL06|-17.04646|133.80311|233.0|Beetaloo Station, NT|2021-08-31T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL07|-17.60978|133.9562|231.0|Tandyidgee, NT|2021-09-05T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL08|-16.98692|134.46698|235.0|Beetaloo Station, NT|2021-09-03T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL09|-16.25895|134.86316|178.0|Tanumbirini, NT|2021-08-28T00:00:00.0000|2026-12-31T00:00:00.0000
2O|BTL10|-16.693541|135.215949|276.0|Goanna Creek, NT|2023-06-23T00:00:00.0000|2026-12-31T00:00:00.0000
A7|LUBAN|-14.90583|13.44833|1921.0|Lubango, Angola|2018-04-03T00:00:00.0000|
AC|BCI|42.3666|20.067499|500.0|Bajram Curri, Albania|2009-12-22T00:00:00.0000|
AC|KBN|40.6236|20.787399|800.0|Korce, Albania|2009-12-22T00:00:00.0000|
AC|PHP|41.6847|20.4408|670.0|Peshkopi, Albania|2009-12-22T00:00:00.0000|
AC|PUK|42.042599|19.892599|900.0|Puke, Albania|2009-12-22T00:00:00.0000|
AC|SRN|39.880001|20.0005|20.0|Sarande, Albania|2010-01-01T00:00:00.0000|
AC|VLO|40.468601|19.495501|80.0|Vlore, Albania|2009-12-22T00:00:00.0000|
AD|DLV|11.952|108.481499|50.0|Dalat Central Vietnam|2015-05-07T00:00:00.0000|
AF|AAUS|9.0349|38.766499|2437.8|Addis Ababa University, Ethiopia|2006-01-10T00:00:00.0000|
AF|ANKE|9.5827|39.741798|2789.9|Ankober, Ethiopia (near Debra Birhan)|2009-05-07T00:00:00.0000|
AF|BLWY|-20.143|28.6113|1348.0|Bulawayo, Zimbabwe|2012-01-01T00:00:00.0000|
AF|BOBN|-1.66|29.23666|1529.0|Bobandana, DRC, Africa|2012-02-23T00:00:00.0000|
AF|CER|-33.361401|19.2945|472.0|Ceres, Western Cape South Africa|2015-06-25T10:00:00.0000|
AF|CNG|-26.2917|32.1883|120.0|Changalane Maputo Province Mozambique|2005-11-03T00:00:00.0000|
AF|CRLN|-25.9949|30.022699|1600.0|Carolina, Mapumpalanga, South Africa|2015-05-14T10:00:00.0000|
AF|CVNA|-31.482|19.762|1050.0|Calvinia, Nortehn Cape, South Africa|2014-06-02T15:00:00.0000|
AF|DESE|11.118|39.634998|2538.0|Dese, Ethiopia|2006-07-27T00:00:00.0000|
AF|DODT|-6.186|35.748001|1114.0|Dodoma, Tanzania|2007-02-11T00:00:00.0000|
AF|EKNA|4.234|9.328|354.0|Ekona, Cameroon|2007-01-23T00:00:00.0000|
AF|GETA|-2.866|33.241001|1267.0|Geita, Tanzania|2011-08-02T00:00:00.0000|
